year,city,crime_major_category,crime_detail,latitude,longitude,occurance_time,clear_status,incident_address,notes
2018,Durham,Drugs,Drug/Narcotic Violations,35.99375,-78.87384,2018/10/01 11:35:00,Inactive,800 N BRIGGS AVE,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,36.05088,-78.92147,2018/10/01 11:16:00,Cleared By Exception,1300 NEW CASTLE RD,No Data
2018,Durham,Theft,Burglary,36.01711,-78.94562,2018/10/01 12:25:00,Active/Open,S LASALLE ST/W PETTIGREW ST,Weapon: Knife/Cutting Instrument
2018,Durham,Theft,Larceny - From Building,35.98798,-78.92735,2018/10/01 12:50:00,(blank),2000 CHAPEL HILL RD,Weapon: Personal Weapons
2018,Durham,Fraud,Fraud-Identity Theft,36.04893,-78.92027,2018/10/01 13:11:00,Inactive,1300 NEW CASTLE RD,No Data
2018,Durham,Fraud,Embezzlement,36.0544,-78.90262,2018/10/01 10:00:00,Inactive,4400 N ROXBORO ST,Weapon: Personal Weapons
2018,Durham,Theft,Larceny - From Building,35.98934,-78.89025,2018/10/01 13:34:00,Inactive,900 E MAIN ST,Weapon: Personal Weapons
2018,Durham,Theft,Lost Property,35.9883,-78.88101,2018/10/01 13:38:00,Active/Open,300 N MAPLE ST,No Data
2018,Durham,Miscellaneous,Assist Other Agency,35.88335,-78.9148,2018/10/01 12:00:00,Inactive,5600 PELHAM RD,No Data
2018,Durham,Theft,Burglary,36.0121,-78.94549,2018/10/01 14:17:00,Inactive,12200 MCQUEEN DR,No Data
2018,Durham,Theft,Burglary,35.94962,-78.90938,2018/10/01 14:24:00,Inactive,600 BUXTON ST,No Data
2018,Durham,Theft,Vandalism,35.95019,-78.99577,2018/10/01 06:00:00,(blank),3500 MT MORIAH RD,No Data
2018,Durham,Assault,Aggravated Assault,35.91133,-78.93618,2018/10/01 14:17:00,Active/Open,200 NC 54 HWY W,Weapon: Handgun
2018,Durham,Sexual Offenses,Sex Offense - Forcible Rape,36.00737,-78.90499,2018/10/01 12:24:00,Inactive,800 N DUKE ST,No Data
2018,Durham,Sexual Offenses,Sex Offense - Sexual Assault With An Object,36.00729,-78.90506,2018/10/01 12:24:00,Inactive,800 N DUKE ST,No Data
2018,Durham,Theft,Larceny - Shoplifting,36.03177,-78.92863,2018/10/01 14:45:00,Active/Open,2900 GUESS RD,No Data
2018,Durham,Fraud,Counterfeiting/Forgery,36.04877,-78.90494,2018/10/01 14:49:00,Unfounded,3600 N DUKE ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94416,-78.90272,2018/10/01 15:00:00,(blank),1400 E CORNWALLIS RD,No Data
2018,Durham,Assault,Aggravated Assault,35.9582,-78.87202,2018/10/01 14:13:00,Inactive,1100 ELLIS RD,Weapon: Handgun
2018,Durham,Theft,Motor Vehicle Theft,36.04897,-78.92066,2018/10/01 15:11:00,Inactive,1300 NEW CASTLE RD,No Data
2018,Durham,Fraud,Fraud - Confidence Games/Trickery,35.93011,-78.78246,2018/10/01 11:30:00,Inactive,1100 GASTON MANOR DR,No Data
2018,Durham,Theft,Vandalism,35.99356,-78.85393,2018/10/02 14:49:00,Active/Open,300 JUNCTION RD,No Data
2018,Durham,Theft,Larceny - All Other,36.05947,-78.87341,2018/10/01 15:40:00,Active/Open,4600 SWANNS MILL DR,No Data
2018,Durham,Theft,Lost Property,35.94905,-78.99528,2018/10/01 16:50:00,(blank),3700 MT MORIAH RD,No Data
2018,Durham,Miscellaneous,Suspicious Activity,35.98613,-78.92738,2018/10/01 16:21:00,Active/Open,2000 CHAPEL HILL RD,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,35.87115,-78.85508,2018/10/01 16:49:00,Inactive,700 KEYSTONE PARK DR,No Data
2018,Durham,Theft,Lost Property,36.01805,-78.90962,2018/10/01 16:00:00,Active/Open,1000 W CLUB BLVD,No Data
2018,Durham,Theft,Larceny - Shoplifting,36.02853,-78.84467,2018/10/01 15:30:00,Cleared By Arrest,1500 GLENN SCHOOL RD,No Data
2018,Durham,Miscellaneous,Intimidation,35.97421,-78.95791,2018/10/01 10:38:00,Active/Open,2800 PICKETT RD,No Data
2018,Durham,Miscellaneous,All Other Criminal Offenses,35.97391,-78.95749,2018/10/01 10:38:00,Active/Open,2800 PICKETT RD,No Data
2018,Durham,Miscellaneous,Suspicious Activity,35.97416,-78.9579,2018/10/01 10:38:00,Active/Open,2800 PICKETT RD,No Data
2018,Durham,Theft,Vandalism,36.04864,-78.85729,2018/10/01 17:29:00,Active/Open,700 GLADE ASTER DR,No Data
2018,Durham,Theft,Vandalism,36.04008,-78.90609,2018/10/01 10:15:00,Active/Open,500 W CARVER ST,Weapon: Blunt Objects
2018,Durham,Miscellaneous,Calls For Service (No Crime),36.00574,-78.90592,2018/10/01 16:00:00,Inactive,900 W TRINITY AVE,No Data
2018,Durham,Theft,Larceny - From Building,36.01825,-78.90988,2018/10/01 17:00:00,Active/Open,1000 W CLUB BLVD,No Data
2018,Durham,Theft,Burglary,35.98899,-78.92424,2018/10/01 06:15:00,Inactive,1700 DEAN ST,No Data
2018,Durham,Miscellaneous,Robbery - Commercial,35.92271,-78.92804,2018/10/01 18:52:00,Inactive,5700 FAYETTEVILLE RD,No Data
2018,Durham,Miscellaneous,Robbery - Individual,35.98539,-78.90941,2018/10/01 17:14:00,Inactive,1100 UNIVERSITY DR,Weapon: Personal Weapons
2018,Durham,Assault,Aggravated Assault,36.02322,-78.91772,2018/10/01 19:15:00,Cleared By Exception,2000 GUESS RD,Weapon: Blunt Objects
2018,Durham,Miscellaneous,Intimidation,35.99309,-78.90039,2018/10/01 18:51:00,Inactive,200 S MANGUM ST,No Data
2018,Durham,Theft,Larceny - All Other,35.98342,-78.84502,2018/10/01 19:12:00,Inactive,100 CUSHMAN ST,No Data
2018,Durham,Fraud,Fraud - Credit Card/Atm,35.94951,-78.99138,2018/10/01 14:00:00,Inactive,5200 MCFARLAND DR,No Data
2018,Durham,Fraud,Fraud - Unauthorized Use Of Conveyance,35.98428,-78.89859,2018/10/01 18:57:00,Active/Open,900 FAYETTEVILLE ST,No Data
2018,Durham,Miscellaneous,Dv Info Report (No Crime),35.92711,-78.89508,2018/10/01 17:42:00,Inactive,5200 PENRITH DR,No Data
2018,Durham,Assault,Aggravated Assault,36.00188,-78.89968,2018/10/01 03:00:00,Inactive,W CORPORATION ST/RIGSBEE AVE,Weapon: Handgun
2018,Durham,Theft,Vandalism,36.00192,-78.90013,2018/10/01 03:00:00,Inactive,W CORPORATION ST/RIGSBEE AVE,Weapon: Handgun
2018,Durham,Theft,Larceny - From Motor Vehicle,36.00158,-78.91128,2018/10/01 16:30:00,Inactive,1100 W MAIN ST,No Data
2018,Durham,Assault,Aggravated Assault,35.99368,-78.89601,2018/10/01 18:45:00,Inactive,400 LIBERTY ST,Weapon: Knife/Cutting Instrument
2018,Durham,Theft,Larceny - From Motor Vehicle,36.0019,-78.91157,2018/10/01 16:30:00,Inactive,1100 W MAIN ST,No Data
2018,Durham,Miscellaneous,Runaway,36.00018,-78.8824,2018/10/01 19:30:00,Cleared By Exception,1100 ELMO ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.89607,-78.89924,2018/10/01 00:00:00,Closed (Non-Criminal),5000 NC 55 HWY,No Data
2018,Durham,Theft,Recovered Stolen Property (Other Jurisdiction),35.91904,-78.96105,2018/10/01 20:00:00,Active/Open,NC 54 HWY W/NC 751 HWY,No Data
2018,Durham,Miscellaneous,All Other Offenses-Court Violations,35.96303,-78.95483,2018/10/01 21:27:00,Cleared By Arrest,3300 SHANNON RD,No Data
2018,Durham,Assault,Simple Assault,35.9882,-78.91976,2018/10/01 21:17:00,Active/Open,1200 CORNELL ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.93628,-78.93944,2018/10/01 00:00:00,Closed (Non-Criminal),5000 BRIDGEWOOD DR,No Data
2018,Durham,Assault,Simple Assault,36.06647,-78.89803,2018/10/01 10:00:00,Inactive,5100 OLD WELL ST,No Data
2018,Durham,Miscellaneous,Intimidation,35.92329,-78.93187,2018/10/01 09:00:00,Inactive,300 WOODCROFT PKWY,No Data
2018,Durham,Assault,Simple Assault,35.99414,-78.90357,2018/10/01 22:50:00,Cleared By Exception,300 BLACKWELL ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04422,-78.89486,2018/10/01 00:00:00,Closed (Non-Criminal),200 WILLIAM PENN PLZ,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94108,-78.86306,2018/10/01 23:45:00,Closed (Non-Criminal),400 STONE LION DR,No Data
2018,Durham,Assault,Simple Assault,36.04311,-78.8477,2018/10/01 23:18:00,Cleared By Exception,3600 GROUSE CT,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.00286,-78.92222,2018/10/01 23:42:00,Closed (Non-Criminal),300 SWIFT AVE,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04521,-78.93294,2018/10/02 00:32:00,Closed (Non-Criminal),2100 BOGARDE ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.05941,-78.87093,2018/10/02 00:35:00,Closed (Non-Criminal),1300 COZART ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04518,-78.93263,2018/10/02 01:03:00,Closed (Non-Criminal),2100 BOGARDE ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.9411,-78.86337,2018/10/02 01:39:00,Closed (Non-Criminal),400 STONE LION DR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.90882,-78.98146,2018/10/02 01:53:00,Closed (Non-Criminal),6100 FARRINGTON RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04895,-78.91113,2018/10/02 02:22:00,Closed (Non-Criminal),900 CHALK LEVEL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04923,-78.9114,2018/10/02 03:03:00,Closed (Non-Criminal),900 CHALK LEVEL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.97555,-78.84948,2018/10/02 03:34:00,Inactive,900 WADESBORO ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.03782,-78.81256,2018/10/02 03:35:00,Inactive,2800 TULIP POPLAR CIR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.90724,-78.92109,2018/10/02 03:24:00,Closed (Non-Criminal),6200 PINE GLEN TRL,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.90418,-78.9026,2018/10/02 03:48:00,Closed (Non-Criminal),300 SEAFORTH DR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94619,-78.98851,2018/10/02 04:39:00,Closed (Non-Criminal),5100 OLD CHAPEL HILL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94611,-78.98813,2018/10/02 04:37:00,Closed (Non-Criminal),5100 OLD CHAPEL HILL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94611,-78.98843,2018/10/02 04:36:00,Closed (Non-Criminal),5100 OLD CHAPEL HILL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.00313,-78.92177,2018/10/02 06:02:00,Closed (Non-Criminal),300 SWIFT AVE,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.98205,-78.90246,2018/10/02 06:21:00,Closed (Non-Criminal),200 E UMSTEAD ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.90728,-78.92099,2018/10/02 06:44:00,Inactive,6200 PINE GLEN TRL,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94592,-78.9885,2018/10/02 06:52:00,Closed (Non-Criminal),5100 OLD CHAPEL HILL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.99116,-78.87219,2018/10/02 07:04:00,Inactive,600 RAYNOR ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94264,-78.91841,2018/10/02 07:17:00,Inactive,200 KENT LAKE DR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.98359,-78.88155,2018/10/02 07:27:00,Inactive,1800 ANGIER AVE,No Data
2018,Durham,Miscellaneous,Death Investigation,35.9859,-78.9663,2018/10/02 07:54:00,Inactive,2900 FRIENDSHIP RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.99231,-78.8868,2018/10/02 08:23:00,Inactive,800 HOPKINS ST,No Data
2018,Durham,Theft,Larceny - All Other,35.90763,-78.9211,2018/10/02 08:52:00,Inactive,6200 PINE GLEN TRL,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,35.87687,-78.91921,2018/10/02 08:02:00,Inactive,0 SILVERBELL CT,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,36.01898,-78.92724,2018/10/02 07:00:00,Active/Open,2100 WOODROW ST,No Data
2018,Durham,Miscellaneous,All Other Offenses-Court Violations,35.95868,-78.92977,2018/10/02 08:38:00,Cleared By Arrest,400 DEVLIN PL,No Data
2018,Durham,Theft,Larceny - All Other,35.99825,-78.92171,2018/10/01 13:42:00,Active/Open,1100 BURCH AVE,No Data
2018,Durham,Theft,Motor Vehicle Theft,36.01316,-78.86629,2018/10/02 09:04:00,Cleared By Exception,1600 E GEER ST,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,35.87838,-78.92385,2018/10/02 08:23:00,Active/Open,100 SILVER PINE CT,No Data
2018,Durham,Theft,Larceny - Shoplifting,36.02827,-78.84423,2018/10/02 09:51:00,Inactive,1500 GLENN SCHOOL RD,No Data
2018,Durham,Fraud,Fraud - False Pretense,35.93928,-78.8906,2018/10/02 08:35:00,Inactive,2800 COURTNEY CREEK BLVD,No Data
2018,Durham,Miscellaneous,Suicide,36.02351,-78.91243,2018/10/01 09:45:00,Inactive,1300 HUDSON AVE,No Data
2018,Durham,Theft,Larceny - All Other,35.93482,-78.92007,2018/10/02 10:51:00,Active/Open,200 WOOD VALLEY CT,No Data
2018,Durham,Theft,Burglary,35.97422,-78.95756,2018/10/02 10:09:00,Active/Open,2800 PICKETT RD,No Data
2018,Durham,Miscellaneous,Calls For Service (No Crime),36.04444,-78.90016,2018/10/02 08:00:00,Active/Open,100 WILLIAM PENN PLZ,No Data
2018,Durham,Theft,Lost Property,35.95323,-78.80724,2018/10/02 11:04:00,Active/Open,3400 FLAT RIVER DR,No Data
2018,Durham,Miscellaneous,Intimidation,35.91923,-78.91259,2018/10/02 10:45:00,Inactive,0 PENLEY CT,No Data
2018,Durham,Traffic Violations,All Traffic (Except Dwi),35.99296,-78.88607,2018/10/02 11:19:00,Cleared By Arrest,LIBERTY ST/N ALSTON AVE,No Data
2018,Durham,Assault,Simple Assault,35.99686,-78.88072,2018/10/02 10:58:00,Cleared By Arrest,1100 N HYDE PARK AVE,Weapon: Personal Weapons
2018,Durham,Miscellaneous,All Other Offenses-Court Violations,35.99714,-78.88119,2018/10/02 10:58:00,Cleared By Arrest,1100 N HYDE PARK AVE,No Data
2018,Durham,Assault,Simple Assault,35.97265,-78.88912,2018/10/02 09:57:00,Inactive,1200 DAYTON ST,No Data
2018,Durham,Fraud,Fraud - False Pretense,35.96903,-78.93148,2018/10/02 11:06:00,Inactive,2800 STUART DR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.97796,-78.90254,2018/10/02 12:04:00,Inactive,400 MOLINE ST,No Data
2018,Durham,Theft,Vandalism,36.09755,-78.91743,2018/10/02 11:38:00,Active/Open,400 HIDDEN TREASURE DR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.03343,-78.88454,2018/10/02 12:04:00,Closed (Non-Criminal),600 BERWYN AVE,No Data
2018,Durham,Theft,Vandalism,36.00131,-78.88542,2018/10/02 12:04:00,Active/Open,900 DREW ST,No Data
2018,Durham,Miscellaneous,Intimidation,35.91091,-78.93915,2018/10/02 12:32:00,Active/Open,200 NC 54 HWY W,No Data
2018,Durham,Miscellaneous,Calls For Service (No Crime),36.04391,-78.92274,2018/10/02 12:48:00,Active/Open,1600 GLASGOW ST,No Data
2018,Durham,Theft,Larceny - All Other,35.9679,-78.86853,2018/10/02 12:30:00,Cleared By Exception,700 ELLIS RD,No Data
2018,Durham,Theft,Burglary,36.06432,-78.9049,2018/10/02 12:47:00,Inactive,4900 N ROXBORO ST,No Data
2018,Durham,Theft,Burglary,36.01209,-78.89898,2018/10/02 13:06:00,Cleared By Arrest,1300 WASHINGTON ST,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,35.87804,-78.92337,2018/10/02 00:01:00,Inactive,600 GOLDFLOWER DR,No Data
2018,Durham,Theft,Larceny - From Building,36.0371,-78.89975,2018/10/02 11:45:00,Cleared By Exception,3600 N ROXBORO ST,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,36.03705,-78.89937,2018/10/02 11:45:00,Cleared By Exception,3600 N ROXBORO ST,No Data
2018,Durham,Theft,Motor Vehicle Theft,36.03729,-78.89945,2018/10/02 11:45:00,Cleared By Exception,3600 N ROXBORO ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.92782,-78.89374,2018/10/02 14:07:00,Inactive,5200 PENRITH DR,No Data
2018,Durham,Theft,Larceny - Shoplifting,35.94144,-78.90848,2018/10/02 12:44:00,Cleared By Arrest,4400 FAYETTEVILLE RD,No Data
2018,Durham,Theft,Larceny - Shoplifting,35.94172,-78.9086,2018/10/01 11:42:00,Inactive,4400 FAYETTEVILLE RD,No Data
2018,Durham,Theft,Larceny - Shoplifting,35.94173,-78.90818,2018/10/01 10:13:00,Inactive,4400 FAYETTEVILLE RD,No Data
2018,Durham,Theft,Motor Vehicle Theft,36.0065,-78.89392,2018/10/02 06:15:00,Inactive,1100 N MANGUM ST,Weapon: Personal Weapons
2018,Durham,Drugs,Drug/Narcotic Violations,35.97774,-78.90533,2018/10/02 14:00:00,Cleared By Exception,1500 S ROXBORO ST,No Data
2018,Durham,Miscellaneous,Recovered Stolen Vehicle (Other Jurisdiction),36.04921,-78.91149,2018/10/02 14:25:00,Active/Open,900 CHALK LEVEL RD,No Data
2018,Durham,Fraud,Fraud - False Pretense,35.97485,-78.79303,2018/10/02 14:17:00,Inactive,100 SHERRON RD,No Data
2018,Durham,Assault,Simple Assault,36.00948,-78.88441,2018/10/02 14:25:00,Inactive,700 COLONIAL ST,No Data
2018,Durham,Miscellaneous,Recovered Stolen Vehicle (Other Jurisdiction),35.90401,-78.94156,2018/10/02 14:55:00,Inactive,6900 FAYETTEVILLE RD,No Data
2018,Durham,Miscellaneous,Intimidation,36.03218,-78.97936,2018/10/02 16:00:00,Active/Open,4600 HILLSBOROUGH RD,Weapon: Personal Weapons
2018,Durham,Miscellaneous,Suspicious Activity,35.91442,-78.93998,2018/10/02 16:09:00,Active/Open,4800 ROLLINGWOOD DR,No Data
2018,Durham,Theft,Larceny - From Building,36.04896,-78.92944,2018/10/02 16:37:00,Inactive,3600 GUESS RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.9089,-78.88363,2018/10/02 17:04:00,Inactive,4300 S ALSTON AVE,No Data
2018,Durham,Theft,Larceny - Shoplifting,36.01871,-78.94736,2018/10/02 16:45:00,Inactive,3400 HILLSBOROUGH RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.01206,-78.87714,2018/10/02 17:20:00,Inactive,1300 CAMDEN AVE,No Data
2018,Durham,Miscellaneous,Suspicious Activity,36.00713,-78.92078,2018/10/02 16:10:00,Inactive,600 BROAD ST,No Data
2018,Durham,Miscellaneous,All Other Offenses-Court Violations,35.98421,-78.8557,2018/10/02 17:44:00,Cleared By Exception,600 BIG TWIG LN,No Data
2018,Durham,Miscellaneous,Calls For Service (No Crime),35.92471,-78.84415,2018/10/02 17:35:00,Inactive,2900 S MIAMI BLVD,No Data
2018,Durham,Drugs,Drug/Narcotic Violations,36.01054,-78.93855,2018/10/02 18:12:00,Cleared By Arrest,0 RATCALE LN,No Data
2018,Durham,Theft,Lost Property,35.96767,-78.92183,2018/10/02 14:15:00,Active/Open,200 W CORNWALLIS RD,No Data
2018,Durham,Theft,Larceny - Shoplifting,36.04876,-78.90493,2018/10/02 17:25:00,Inactive,3600 N DUKE ST,No Data
2018,Durham,Miscellaneous,Trespassing,35.99475,-78.88603,2018/10/02 18:15:00,Cleared By Arrest,1000 N ALSTON AVE,No Data
2018,Durham,Assault,Simple Assault,35.99812,-78.86402,2018/10/02 18:08:00,Active/Open,500 HARDEE ST,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,36.04661,-78.92871,2018/10/02 17:27:00,Active/Open,3600 GUESS RD,No Data
2018,Durham,Theft,Larceny - All Other,35.96749,-78.95677,2018/10/02 13:15:00,Active/Open,4000 DURHAM CHAPEL HILL BLVD,No Data
2018,Durham,Theft,Burglary,36.04183,-78.88903,2018/10/01 09:00:00,Active/Open,500 PICKWICK TRL,No Data
2018,Durham,Theft,Motor Vehicle Theft,35.9893,-78.86069,2018/10/02 07:00:00,Inactive,200 S HOOVER RD,No Data
